ردیف,نام منبع,نوع,بخش صفحه,زیربخش,آدرس وب‌سایت,آدرس RSS/Atom,وضعیت فید,توضیح صفحه,یادداشت اعتبارسنجی
11,Xinhua,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://english.news.cn/,https://english.news.cn/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری دولتی چین.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
12,TASS,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://tass.com/,https://tass.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری دولتی روسیه.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
13,Anadolu Agency,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://www.aa.com.tr/en,https://aa.com.tr/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری دولتی ترکیه.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
14,Press Trust of India,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://www.ptinews.com/,https://ptinews.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری بزرگ هند.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
15,African News Agency,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://africannewsagency.com/,https://africannewsagency.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,پوشش آفریقا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
16,BBC News,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.bbc.com/news,https://feeds.bbci.co.uk/news/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,پوشش جهانی و سرویس‌های زبانی.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
17,CNN International,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://edition.cnn.com/,http://rss.cnn.com/rss/edition_world.rss,فید شناخته‌شده / نیازمند آزمون نهایی,خبر تلویزیونی و دیجیتال جهانی.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
18,Al Jazeera English,رسانه/منبع تحلیلی یا پژوهشی,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.aljazeera.com/,https://www.aljazeera.com/xml/rss/all.xml,فید شناخته‌شده / نیازمند آزمون نهایی,پوشش جهانی با تمرکز ویژه بر جنوب جهانی و خاورمیانه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
19,France 24,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.france24.com/en/,https://www.france24.com/en/rss,فید شناخته‌شده / نیازمند آزمون نهایی,شبکه بین‌المللی فرانسه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
20,Deutsche Welle,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.dw.com/,https://rss.dw.com/rdf/rss-en-all,فید شناخته‌شده / نیازمند آزمون نهایی,رسانه بین‌المللی آلمان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
21,Euronews,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.euronews.com/,https://www.euronews.com/rss?level=theme&name=news,فید شناخته‌شده / نیازمند آزمون نهایی,خبر اروپا و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
22,Sky News,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://news.sky.com/,https://feeds.skynews.com/feeds/rss/home.xml,فید شناخته‌شده / نیازمند آزمون نهایی,خبر بریتانیا و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
23,NHK World-Japan,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www3.nhk.or.jp/nhkworld/,https://www3.nhk.or.jp/rss/news/cat0.xml,فید شناخته‌شده / نیازمند آزمون نهایی,شبکه بین‌المللی ژاپن.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
24,CNA,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.channelnewsasia.com/,https://www.channelnewsasia.com/api/v1/rss-outbound-feed?_format=xml,فید شناخته‌شده / نیازمند آزمون نهایی,سنگاپور و آسیا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
25,ABC Australia,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.abc.net.au/news/,https://www.abc.net.au/news/feed/51120/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,استرالیا و اقیانوسیه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
26,CBC News,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.cbc.ca/news,https://www.cbc.ca/cmlink/rss-topstories,فید شناخته‌شده / نیازمند آزمون نهایی,کانادا و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
27,TRT World,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.trtworld.com/,https://www.trtworld.com/rss,فید شناخته‌شده / نیازمند آزمون نهایی,شبکه بین‌المللی ترکیه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
28,RT,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.rt.com/,https://www.rt.com/rss/,فید شناخته‌شده / نیازمند آزمون نهایی,رسانه دولت‌بودجه روسیه؛ در برخی کشورها محدود/مسدود.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
29,CGTN,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.cgtn.com/,https://cgtn.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,شبکه بین‌المللی دولتی چین.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
30,VOA,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.voanews.com/,,فید عمومی معتبر یافت نشد,صدای آمریکا، بودجه دولتی.,فید عمومی رسمی/پایدار در منابع در دسترس شناسایی نشد؛ ممکن است خبرنامه، API یا فید اشتراکی ارائه شود.
31,Radio Free Europe/Radio Liberty,رسانه/منبع تحلیلی یا پژوهشی,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,شبکه‌های خبری جهانی,https://www.rferl.org/,,فید عمومی معتبر یافت نشد,اروپای شرقی، روسیه، قفقاز، آسیای مرکزی و ایران؛ بودجه آمریکا.,فید عمومی رسمی/پایدار در منابع در دسترس شناسایی نشد؛ ممکن است خبرنامه، API یا فید اشتراکی ارائه شود.
32,The New York Times,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آمریکای شمالی,https://www.nytimes.com/,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,فید شناخته‌شده / نیازمند آزمون نهایی,سیاست، جهان و تحقیقات.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
33,The Washington Post,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آمریکای شمالی,https://www.washingtonpost.com/,https://feeds.washingtonpost.com/rss/world,فید شناخته‌شده / نیازمند آزمون نهایی,سیاست آمریکا و امور بین‌الملل.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
34,The Wall Street Journal,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آمریکای شمالی,https://www.wsj.com/,https://feeds.a.dj.com/rss/RSSWorldNews.xml,فید شناخته‌شده / نیازمند آزمون نهایی,اقتصاد، تجارت و سیاست.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
35,Los Angeles Times,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آمریکای شمالی,https://www.latimes.com/,https://www.latimes.com/world-nation/rss2.0.xml,فید شناخته‌شده / نیازمند آزمون نهایی,آمریکا، اقیانوس آرام و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
36,The Globe and Mail,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آمریکای شمالی,https://www.theglobeandmail.com/,https://theglobeandmail.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,کانادا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
37,Toronto Star,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آمریکای شمالی,https://www.thestar.com/,https://www.thestar.com/search/?f=rss&t=article&c=news/world,فید شناخته‌شده / نیازمند آزمون نهایی,کانادا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
38,Financial Times,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان | ۴) منابع تحلیلی، ژئوپولیتیک، نظامی و اقتصادی,بریتانیا و اروپا | اقتصاد، بازار، انرژی و توسعه,https://www.ft.com/,https://www.ft.com/rss/home,فید شناخته‌شده / نیازمند آزمون نهایی,اقتصاد سیاسی، بازارها و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
39,The Guardian,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.theguardian.com/international,https://www.theguardian.com/world/rss,فید شناخته‌شده / نیازمند آزمون نهایی,جهان، سیاست و تحقیقات.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
40,The Times,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.thetimes.com/,,فید عمومی معتبر یافت نشد,بریتانیا و جهان.,فید عمومی رسمی/پایدار در منابع در دسترس شناسایی نشد؛ ممکن است خبرنامه، API یا فید اشتراکی ارائه شود.
41,The Telegraph,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.telegraph.co.uk/,https://www.telegraph.co.uk/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,بریتانیا و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
42,The Economist,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان | ۴) منابع تحلیلی، ژئوپولیتیک، نظامی و اقتصادی,بریتانیا و اروپا | اقتصاد، بازار، انرژی و توسعه,https://www.economist.com/,https://www.economist.com/the-world-this-week/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,تحلیل هفتگی سیاست و اقتصاد جهانی.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
43,Le Monde,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.lemonde.fr/en/,https://www.lemonde.fr/international/rss_full.xml,فید شناخته‌شده / نیازمند آزمون نهایی,فرانسه و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
44,Le Figaro,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.lefigaro.fr/,https://www.lefigaro.fr/rss/figaro_actualites.xml,فید شناخته‌شده / نیازمند آزمون نهایی,فرانسه و جهان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
45,Libération,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.liberation.fr/,https://www.liberation.fr/arc/outboundfeeds/rss-all/,فید شناخته‌شده / نیازمند آزمون نهایی,فرانسه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
46,Der Spiegel,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.spiegel.de/international/,https://www.spiegel.de/international/index.rss,فید شناخته‌شده / نیازمند آزمون نهایی,آلمان و تحقیقات بین‌المللی.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
47,Frankfurter Allgemeine Zeitung,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.faz.net/,https://www.faz.net/rss/aktuell/,فید شناخته‌شده / نیازمند آزمون نهایی,آلمان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
48,Süddeutsche Zeitung,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.sueddeutsche.de/,https://rss.sueddeutsche.de/rss/Topthemen,فید شناخته‌شده / نیازمند آزمون نهایی,آلمان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
49,El País,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://english.elpais.com/,https://feeds.elpais.com/mrss-s/pages/ep/site/english.elpais.com/portada,فید شناخته‌شده / نیازمند آزمون نهایی,اسپانیا و جهان اسپانیایی‌زبان.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
50,La Repubblica,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.repubblica.it/,https://www.repubblica.it/rss/homepage/rss2.0.xml,فید شناخته‌شده / نیازمند آزمون نهایی,ایتالیا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
51,Corriere della Sera,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.corriere.it/,https://xml2.corriereobjects.it/rss/homepage.xml,فید شناخته‌شده / نیازمند آزمون نهایی,ایتالیا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
52,Politico Europe,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,بریتانیا و اروپا,https://www.politico.eu/,https://www.politico.eu/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,سیاست اروپا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
53,Nikkei Asia,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان | ۴) منابع تحلیلی، ژئوپولیتیک، نظامی و اقتصادی,آسیا و اقیانوسیه | اقتصاد، بازار، انرژی و توسعه,https://asia.nikkei.com/,https://asia.nikkei.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,اقتصاد و ژئوپولیتیک آسیا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
54,The Japan Times,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آسیا و اقیانوسیه,https://www.japantimes.co.jp/,https://www.japantimes.co.jp/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,ژاپن و منطقه.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
55,South China Morning Post,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آسیا و اقیانوسیه,https://www.scmp.com/,https://www.scmp.com/rss/91/feed,فید شناخته‌شده / نیازمند آزمون نهایی,چین، هنگ‌کنگ و آسیا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
56,The Straits Times,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آسیا و اقیانوسیه,https://www.straitstimes.com/,https://www.straitstimes.com/news/world/rss.xml,فید شناخته‌شده / نیازمند آزمون نهایی,سنگاپور و جنوب‌شرق آسیا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
57,The Hindu,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آسیا و اقیانوسیه,https://www.thehindu.com/,https://www.thehindu.com/news/international/feeder/default.rss,فید شناخته‌شده / نیازمند آزمون نهایی,هند.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
58,The Indian Express,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آسیا و اقیانوسیه,https://indianexpress.com/,https://indianexpress.com/section/world/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,هند.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
59,Hindustan Times,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آسیا و اقیانوسیه,https://www.hindustantimes.com/,https://www.hindustantimes.com/feeds/rss/world-news/rssfeed.xml,فید شناخته‌شده / نیازمند آزمون نهایی,هند.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
60,The Sydney Morning Herald,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آسیا و اقیانوسیه,https://www.smh.com.au/,https://www.smh.com.au/rss/feed.xml,فید شناخته‌شده / نیازمند آزمون نهایی,استرالیا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
61,The Australian,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آسیا و اقیانوسیه,https://www.theaustralian.com.au/,https://theaustralian.com.au/feed/,نامزد متداول / نیازمند راستی‌آزمایی,استرالیا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
62,AllAfrica,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آفریقا و آمریکای لاتین,https://allafrica.com/,https://allafrica.com/tools/headlines/rdf/latest/headlines.rdf,فید شناخته‌شده / نیازمند آزمون نهایی,تجمیع و تولید خبر از سراسر آفریقا.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
63,Mail & Guardian,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آفریقا و آمریکای لاتین,https://mg.co.za/,https://mg.co.za/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,آفریقای جنوبی.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
64,Daily Maverick,رسانه/منبع اطلاعاتی,۲) روزنامه‌ها و رسانه‌های عمومی اثرگذار جهان,آفریقا و آمریکای لاتین,https://www.dailymaverick.co.za/,https://www.dailymaverick.co.za/feed/,فید شناخته‌شده / نیازمند آزمون نهایی,آفریقای جنوبی؛ تحقیق و تحلیل.,نشانی شناخته‌شده یا مستند فید؛ به‌علت نبود دسترسی شبکه در محیط اجرا، پاسخ HTTP/XML در این نوبت آزمایش نشد.
